caregiversNo,caregiversName,caregiversAge,caregiversGender,caregiversTel,caregiversExperience,caregiversWorkHours,caregiversRole
1,김미선,40-50,female,010-1234-5678,experienced,afternoon,housekeeping
2,박미영,20-40,female,010-3456-7890,novice,evening,housekeeping
3,정영수,50+,male,010-4567-8901,novice,afternoon,housekeeping
4,송은주,50+,female,010-5678-9012,novice,evening,personalCare
5,최태욱,50+,male,010-6789-0123,novice,evening,personalCare
6,김영진,40-50,male,010-7890-1234,intermediate,morning,companionship
7,박진희,20-40,female,010-8901-2345,intermediate,afternoon,housekeeping
8,이영희,50+,female,010-9012-3456,experienced,morning,personalCare
9,정경호,50+,male,010-0987-6543,intermediate,morning,companionship
10,윤향숙,40-50,female,010-9876-5432,intermediate,evening,personalCare
11,이영택,50+,male,010-8765-4321,novice,evening,companionship
12,김미숙,20-40,female,010-7654-3210,experienced,afternoon,housekeeping
13,장정훈,40-50,male,010-6543-2109,intermediate,afternoon,housekeeping
14,이진우,20-40,male,010-4321-0987,novice,evening,housekeeping
15,김옥자,40-50,female,010-3210-9876,intermediate,morning,companionship
16,송미영,40-50,female,010-8765-4321,intermediate,morning,personalCare
17,최성수,20-40,male,010-7654-3210,intermediate,afternoon,companionship
18,이진숙,40-50,female,010-5432-1098,novice,evening,personalCare
19,김영숙,20-40,female,010-4321-0987,novice,afternoon,companionship
20,장현주,20-40,female,010-3210-9876,novice,evening,companionship
21,송현주,50+,female,010-2109-8765,experienced,afternoon,companionship
22,이진희,40-50,female,010-8765-4321,novice,afternoon,companionship
23,정현지,20-40,female,010-7654-3210,novice,morning,companionship
24,박옥자,40-50,female,010-5432-1098,experienced,evening,personalCare
25,정태욱,40-50,male,010-1098-7654,experienced,evening,companionship
26,이옥자,50+,female,010-7654-3210,experienced,morning,companionship
27,정미숙,40-50,female,010-6543-2109,novice,evening,personalCare
28,박승희,50+,female,010-5432-1098,experienced,afternoon,housekeeping
29,김태영,20-40,male,010-3210-9876,intermediate,morning,companionship
30,이정희,40-50,female,010-2109-8765,experienced,afternoon,housekeeping
31,이태욱,40-50,male,010-8765-4321,experienced,morning,companionship
32,정지원,50+,male,010-7654-3210,experienced,evening,companionship
33,박현주,40-50,female,010-6543-2109,intermediate,evening,companionship
34,박지원,20-40,female,010-2109-8765,intermediate,afternoon,personalCare
35,이영진,40-50,male,010-9876-5432,experienced,evening,companionship
36,김은주,50+,female,010-8765-4321,experienced,afternoon,personalCare
37,박민지,50+,female,010-7654-3210,experienced,evening,housekeeping
38,이영수,20-40,male,010-6543-2109,novice,evening,housekeeping
39,정영진,50+,male,010-5432-1098,experienced,morning,companionship
40,장현지,50+,female,010-4321-0987,novice,evening,personalCare
41,이정숙,40-50,female,010-3210-9876,intermediate,afternoon,personalCare
42,김승희,20-40,female,010-9876-5432,novice,evening,personalCare
43,정옥자,50+,female,010-7654-3210,experienced,evening,companionship
44,장영수,40-50,male,010-6543-2109,experienced,morning,companionship
45,박영진,20-40,male,010-5432-1098,experienced,afternoon,companionship
46,김정숙,40-50,female,010-4321-0987,experienced,evening,companionship
47,이미선,20-40,female,010-3210-9876,novice,evening,companionship
48,장태욱,50+,male,010-1098-7654,novice,afternoon,personalCare
49,박미선,40-50,female,010-0987-6543,novice,morning,companionship
50,이지원,20-40,male,010-9876-5432,experienced,evening,personalCare
51,김민지,50+,female,010-8765-4321,novice,morning,companionship
52,장미선,20-40,female,010-7654-3210,intermediate,afternoon,companionship
53,박정숙,40-50,female,010-6543-2109,experienced,evening,personalCare
54,이태영,50+,female,010-5432-1098,intermediate,afternoon,personalCare
55,장은주,20-40,female,010-3210-9876,novice,evening,personalCare
56,김태욱,40-50,male,010-2109-8765,experienced,morning,personalCare
57,이미영,50+,female,010-1098-7654,experienced,afternoon,personalCare
58,정민지,40-50,female,010-0987-6543,experienced,evening,companionship
59,장민수,20-40,male,010-9876-5432,novice,afternoon,companionship
60,박태영,40-50,male,010-8765-4321,intermediate,morning,companionship
61,이미경,50+,female,010-7654-3210,novice,afternoon,companionship
62,정은주,20-40,female,010-6543-2109,intermediate,evening,companionship
63,장태영,50+,male,010-5432-1098,experienced,evening,companionship
64,김미영,40-50,female,010-4321-0987,novice,morning,personalCare
65,이승희,20-40,female,010-3210-9876,experienced,afternoon,personalCare
66,정현주,50+,female,010-2109-8765,intermediate,evening,personalCare
67,장영진,40-50,male,010-1098-7654,novice,afternoon,personalCare
68,김정희,20-40,female,010-9876-5432,experienced,evening,companionship
69,이민수,40-50,male,010-8765-4321,experienced,morning,companionship
70,정미영,50+,female,010-7654-3210,novice,afternoon,personalCare
71,장승희,40-50,female,010-6543-2109,experienced,evening,companionship
72,김은숙,20-40,female,010-5432-1098,intermediate,morning,companionship
73,정태영,50+,male,010-3210-9876,novice,afternoon,companionship
74,서예준,20-40,male,010-8765-4321,novice,morning,personalCare
75,이서윤,50+,female,010-7654-3210,experienced,evening,personalCare
76,김민준,50+,male,010-6543-2109,novice,afternoon,personalCare
77,박지민,40-50,female,010-5432-1098,experienced,evening,personalCare
78,최시우,20-40,male,010-4321-0987,experienced,afternoon,companionship
79,임도현,20-40,male,010-2109-8765,experienced,afternoon,companionship
